Compound	HMDB	KEGG	High.Confidence.Annotation	Compound.Name	Retention.Time	m.z	Cluster..if.DA.	Putative.Chemical.Class	Adduct
C8-pos_Cluster_2003: C48:0 TAG	NA	NA	TRUE	C48:0 TAG	11.860174	829.724585	NA	NA	[M+Na]+
C8-pos_Cluster_1992: C48:0 TAG*	NA	NA	FALSE	C48:0 TAG*	11.861366	824.769991	NA	NA	[M+NH4]+
C8-pos_Cluster_1997: C48:1 TAG	NA	NA	TRUE	C48:1 TAG	11.609059	827.710874	NA	NA	[M+Na]+
C8-pos_Cluster_1995: C48:2 TAG	NA	NA	TRUE	C48:2 TAG	11.362544	825.694264	NA	Triacylglycerols	[M+Na]+
C8-pos_Cluster_1976: C48:2 TAG*	NA	NA	FALSE	C48:2 TAG*	11.367011	820.737416	NA	Triacylglycerols	[M+NH4]+
C8-pos_Cluster_1987: C48:3 TAG	NA	NA	TRUE	C48:3 TAG	11.118497	823.679486	NA	Triacylglycerols	[M+Na]+
C8-pos_Cluster_1980: C48:4 TAG	NA	NA	TRUE	C48:4 TAG	10.864176	821.664125	NA	NA	[M+Na]+
C8-pos_Cluster_2022: C49:1 TAG	NA	NA	TRUE	C49:1 TAG	11.764544	836.7706	NA	NA	[M+NH4]+
C8-pos_Cluster_2088: C50:0 TAG	NA	NA	TRUE	C50:0 TAG	12.228235	857.756895	NA	Triacylglycerols	[M+Na]+
C8-pos_Cluster_2081: C50:1 TAG	NA	NA	TRUE	C50:1 TAG	11.95418	855.741439	NA	Triacylglycerols	[M+Na]+
C8-pos_Cluster_2064: C50:1 TAG*	NA	NA	FALSE	C50:1 TAG*	11.953231	850.785964	33	Triacylglycerols	[M+NH4]+
C8-pos_Cluster_2075: C50:2 TAG	NA	NA	TRUE	C50:2 TAG	11.695456	853.726038	NA	NA	[M+Na]+
C8-pos_Cluster_2069: C50:3 TAG	NA	NA	TRUE	C50:3 TAG	11.456274	851.709849	NA	NA	[M+Na]+
C8-pos_Cluster_2046: C50:3 TAG*	NA	NA	FALSE	C50:3 TAG*	11.453267	846.754105	NA	NA	[M+NH4]+
C8-pos_Cluster_2056: C50:4 TAG	NA	NA	TRUE	C50:4 TAG	11.215287	849.693242	NA	NA	[M+Na]+
C8-pos_Cluster_2040: C50:4 TAG*	NA	NA	FALSE	C50:4 TAG*	11.211007	844.740122	NA	NA	[M+NH4]+
C8-pos_Cluster_2048: C50:5 TAG	NA	NA	TRUE	C50:5 TAG	10.955001	847.680515	NA	NA	[M+Na]+
C8-pos_Cluster_2130: C51:0 TAG*	NA	NA	FALSE	C51:0 TAG*	12.403503	871.768451	NA	Triacylglycerols	[M+Na]+
C8-pos_Cluster_2117: C51:2 TAG*	NA	NA	FALSE	C51:2 TAG*	11.862853	867.742378	NA	Triacylglycerols	[M+Na]+
C8-pos_Cluster_2102: C51:2 TAG*	NA	NA	FALSE	C51:2 TAG*	11.864224	862.785469	NA	Triacylglycerols	[M+NH4]+
C8-pos_Cluster_2094: C51:3 TAG*	NA	NA	FALSE	C51:3 TAG*	11.611665	860.770334	NA	NA	[M+NH4]+
C8-pos_Cluster_2168: C52:0 TAG	NA	NA	TRUE	C52:0 TAG	12.605217	885.787857	NA	Triacylglycerols	[M+Na]+
C8-pos_Cluster_2154: C52:0 TAG*	NA	NA	FALSE	C52:0 TAG*	12.610295	880.832798	NA	Triacylglycerols	[M+NH4]+
C8-pos_Cluster_2161: C52:1 TAG	NA	NA	TRUE	C52:1 TAG	12.311181	883.772469	NA	Triacylglycerols	[M+Na]+
C8-pos_Cluster_2147: C52:1 TAG*	NA	NA	FALSE	C52:1 TAG*	12.304073	878.810885	1	Triacylglycerols	[M+NH4]+
C8-pos_Cluster_2156: C52:2 TAG	NA	NA	TRUE	C52:2 TAG	12.046012	881.757443	NA	NA	[M+Na]+
C8-pos_Cluster_2140: C52:2 TAG*	NA	NA	FALSE	C52:2 TAG*	12.044946	876.802961	33	NA	[M+NH4]+
C8-pos_Cluster_2149: C52:3 TAG	NA	NA	TRUE	C52:3 TAG	11.790252	879.741796	33	Triacylglycerols	[M+Na]+
C8-pos_Cluster_2136: C52:3 TAG*	NA	NA	FALSE	C52:3 TAG*	11.787681	874.786794	33	Triacylglycerols	[M+NH4]+
C8-pos_Cluster_2141: C52:4 TAG	NA	NA	TRUE	C52:4 TAG	11.540259	877.725965	33	NA	[M+Na]+
C8-pos_Cluster_2132: C52:4 TAG*	NA	NA	FALSE	C52:4 TAG*	11.539806	872.77143	33	NA	[M+NH4]+
C8-pos_Cluster_2138: C52:5 TAG	NA	NA	TRUE	C52:5 TAG	11.307026	875.712613	9	Triacylglycerols	[M+Na]+
C8-pos_Cluster_2124: C52:5 TAG*	NA	NA	FALSE	C52:5 TAG*	11.307079	870.755439	9	Triacylglycerols	[M+NH4]+
C8-pos_Cluster_2134: C52:6 TAG	NA	NA	TRUE	C52:6 TAG	11.066022	873.694315	9	NA	[M+Na]+
C8-pos_Cluster_2119: C52:6 TAG*	NA	NA	FALSE	C52:6 TAG*	11.066136	868.738923	1	NA	[M+NH4]+
C8-pos_Cluster_2128: C52:7 TAG	NA	NA	TRUE	C52:7 TAG	10.821649	871.682557	NA	NA	[M+Na]+
C8-pos_Cluster_2178: C53:3 TAG*	NA	NA	FALSE	C53:3 TAG*	11.96217	888.798113	NA	NA	[M+NH4]+
C8-pos_Cluster_2192: C53:3 TAG*	NA	NA	FALSE	C53:3 TAG*	11.968144	893.7566	NA	NA	[M+Na]+
C8-pos_Cluster_2242: C54:1 TAG	NA	NA	TRUE	C54:1 TAG	12.68823	911.805326	NA	Triacylglycerols	[M+Na]+
C8-pos_Cluster_2240: C54:2 TAG	NA	NA	TRUE	C54:2 TAG	12.407129	909.790505	33	NA	[M+Na]+
C8-pos_Cluster_2233: C54:3 TAG	NA	NA	TRUE	C54:3 TAG	12.150266	907.772896	33	Triacylglycerols	[M+Na]+
C8-pos_Cluster_2218: C54:3 TAG*	NA	NA	FALSE	C54:3 TAG*	12.147274	902.816707	33	Triacylglycerols	[M+NH4]+
C8-pos_Cluster_2226: C54:4 TAG	NA	NA	TRUE	C54:4 TAG	11.891407	905.756823	33	NA	[M+Na]+
C8-pos_Cluster_2211: C54:4 TAG*	NA	NA	FALSE	C54:4 TAG*	11.888264	900.802205	33	NA	[M+NH4]+
C8-pos_Cluster_2220: C54:5 TAG	NA	NA	TRUE	C54:5 TAG	11.640319	903.742499	33	NA	[M+Na]+
C8-pos_Cluster_2207: C54:5 TAG*	NA	NA	FALSE	C54:5 TAG*	11.63787	898.786339	33	NA	[M+NH4]+
C8-pos_Cluster_2215: C54:6 TAG	NA	NA	TRUE	C54:6 TAG	11.397791	901.725337	33	Triacylglycerols	[M+Na]+
C8-pos_Cluster_2201: C54:6 TAG*	NA	NA	FALSE	C54:6 TAG*	11.395511	896.771255	33	Triacylglycerols	[M+NH4]+
C8-pos_Cluster_2210: C54:7 TAG	NA	NA	TRUE	C54:7 TAG	11.166372	899.709334	9	Triacylglycerols	[M+Na]+
C8-pos_Cluster_2202: C54:8 TAG	NA	NA	TRUE	C54:8 TAG	10.918401	897.696173	9	Triacylglycerols	[M+Na]+
C8-pos_Cluster_2197: C54:9 TAG	NA	NA	TRUE	C54:9 TAG	10.673255	895.679848	2	NA	[M+Na]+
C8-pos_Cluster_2284: C55:2 TAG*	NA	NA	FALSE	C55:2 TAG*	12.586698	923.7993	NA	NA	[M+Na]+
C8-pos_Cluster_2277: C55:3 TAG*	NA	NA	FALSE	C55:3 TAG*	12.315409	921.785871	NA	NA	[M+Na]+
C8-pos_Cluster_2319: C56:1 TAG	NA	NA	TRUE	C56:1 TAG	13.10915	939.834558	NA	Triacylglycerols	[M+Na]+
C8-pos_Cluster_2308: C56:1 TAG*	NA	NA	FALSE	C56:1 TAG*	13.10671	934.879787	NA	Triacylglycerols	[M+NH4]+
C8-pos_Cluster_2313: C56:2 TAG	NA	NA	TRUE	C56:2 TAG	12.791268	937.820021	33	NA	[M+Na]+
C8-pos_Cluster_2306: C56:2 TAG*	NA	NA	FALSE	C56:2 TAG*	12.789232	932.864434	NA	NA	[M+NH4]+
C8-pos_Cluster_2311: C56:3 TAG	NA	NA	TRUE	C56:3 TAG	12.502167	935.805034	33	NA	[M+Na]+
C8-pos_Cluster_2303: C56:3 TAG*	NA	NA	FALSE	C56:3 TAG*	12.499672	930.847883	33	NA	[M+NH4]+
C8-pos_Cluster_2307: C56:4 TAG	NA	NA	TRUE	C56:4 TAG	12.234596	933.789253	33	NA	[M+Na]+
C8-pos_Cluster_2297: C56:4 TAG*	NA	NA	FALSE	C56:4 TAG*	12.231816	928.83376	33	NA	[M+NH4]+
C8-pos_Cluster_2304: C56:5 TAG	NA	NA	TRUE	C56:5 TAG	11.970845	931.772886	NA	Triacylglycerols	[M+Na]+
C8-pos_Cluster_2300: C56:6 TAG	NA	NA	TRUE	C56:6 TAG	11.721509	929.758223	NA	NA	[M+Na]+
C8-pos_Cluster_2286: C56:6 TAG*	NA	NA	FALSE	C56:6 TAG*	11.729345	924.801313	NA	NA	[M+NH4]+
C8-pos_Cluster_2293: C56:7 TAG	NA	NA	TRUE	C56:7 TAG	11.482028	927.743962	NA	Triacylglycerols	[M+Na]+
C8-pos_Cluster_2345: C58:6 TAG	NA	NA	TRUE	C58:6 TAG	12.067555	957.790733	NA	NA	[M+Na]+
C8-pos_Cluster_2341: C58:7 TAG	NA	NA	TRUE	C58:7 TAG	11.816957	955.767833	NA	Triacylglycerols	[M+Na]+
HILIC-pos_Cluster_0405: caffeine	HMDB0001847	C07481	TRUE	caffeine	2.823607	195.08719	NA	Purines and purine derivatives	[M+H]+
HILIC-neg_Cluster_0064: caproic acid	HMDB0000535	C01585	TRUE	caproic acid	3.727128	115.076515	2	Medium-chain fatty acids	[M-H]-
HILIC-neg_Cluster_0156: caprylic acid	HMDB0000482	C06423	TRUE	caprylic acid	3.603307	143.107448	1	Medium-chain fatty acids	[M-H]-
HILIC-pos_Cluster_0230: carnitine	HMDB0000062	C00487	TRUE	carnitine	8.756221	162.111937	1	Quaternary ammonium salts	[M+H]+
HILIC-pos_Cluster_0590: carnosine	HMDB0000033	C00386	TRUE	carnosine	9.298983	227.11306	1	Peptidomimetics	[M+H]+
C18-neg_Cluster_0486: carnosol	HMDB0002121	C09069	TRUE	carnosol	10.794002	329.175684	2	Diterpene lactones	[M-H]-
C18-neg_Cluster_1292: chenodeoxycholate	HMDB0000518	C02528	FALSE	chenodeoxycholate	10.556944	459.272582	11	Bile acids, alcohols and derivatives	[Unknown]-
C18-neg_Cluster_1045: chenodeoxycholate	HMDB0000518	C02528	FALSE	chenodeoxycholate	10.555839	427.261603	39	Bile acids, alcohols and derivatives	[M+Cl]-
C18-neg_Cluster_0832: chenodeoxycholate	HMDB0000518	C02528	FALSE	chenodeoxycholate	10.555098	391.284991	11	Bile acids, alcohols and derivatives	[M-H]-
C18-neg_Cluster_1060: chenodeoxycholate	HMDB0000518	C02528	FALSE	chenodeoxycholate	10.555864	429.258863	39	Bile acids, alcohols and derivatives	[Unknown]-
C18-neg_Cluster_1129: chenodeoxycholate	HMDB0000518	C02528	FALSE	chenodeoxycholate	10.556245	438.291909	39	Bile acids, alcohols and derivatives	[Unknown]-
HILIC-neg_Cluster_1360: chenodeoxycholate/deoxycholate*	NA	NA	FALSE	chenodeoxycholate/deoxycholate*	4.051794	391.285236	NA	Bile acids, alcohols and derivatives	[M-H]-
C18-neg_Cluster_0930: cholate	HMDB0000619	C00695	FALSE	cholate	9.127927	407.280078	39	Bile acids, alcohols and derivatives	[M-H]-
C18-neg_Cluster_1258: cholate	HMDB0000619	C00695	FALSE	cholate	9.128415	453.286095	39	Bile acids, alcohols and derivatives	[M+FA-H]-
C18-neg_Cluster_1372: cholate	HMDB0000619	C00695	FALSE	cholate	9.126423	470.275041	39	Bile acids, alcohols and derivatives	[Unknown]-
HILIC-neg_Cluster_1403: cholate	HMDB0000619	C00695	FALSE	cholate	4.211117	407.279787	39	Bile acids, alcohols and derivatives	[M-H]-
C18-neg_Cluster_1178: cholate	HMDB0000619	C00695	FALSE	cholate	9.128149	445.25325	39	Bile acids, alcohols and derivatives	[Unknown]-
C18-neg_Cluster_1273: cholate	HMDB0000619	C00695	FALSE	cholate	9.127798	455.290179	39	Bile acids, alcohols and derivatives	[Unknown]-
C18-neg_Cluster_1621: cholate	HMDB0000619	C00695	FALSE	cholate	9.126215	507.20441	39	Bile acids, alcohols and derivatives	[Unknown]-
C18-neg_Cluster_1722: cholate	HMDB0000619	C00695	FALSE	cholate	9.127678	525.214869	39	Bile acids, alcohols and derivatives	[Unknown]-
C8-pos_Cluster_1900: cholestenone	HMDB0000921	C00599	FALSE	cholestenone	7.005319	791.667671	7	Cholesterols and derivatives	[2M+Na]+
C8-pos_Cluster_1849: cholestenone	HMDB0000921	C00599	FALSE	cholestenone	7.003781	769.684326	7	Cholesterols and derivatives	[2M+H]+
C8-pos_Cluster_0705: cholestenone	HMDB0000921	C00599	FALSE	cholestenone	7.003234	443.399209	7	Cholesterols and derivatives	[Unknown]
C8-pos_Cluster_0629: cholestenone	HMDB0000921	C00599	FALSE	cholestenone	7.005191	425.338977	7	Cholesterols and derivatives	[M-H2O+Na]+
C8-pos_Cluster_0478: cholestenone	HMDB0000921	C00599	FALSE	cholestenone	7.006923	385.346243	7	Cholesterols and derivatives	[M+H]+
C8-pos_Cluster_0554: cholestenone	HMDB0000921	C00599	FALSE	cholestenone	7.008068	407.328289	7	Cholesterols and derivatives	[M+Na]+
C8-pos_Cluster_0416: cholesterol	HMDB0000067	C00187	TRUE	cholesterol	7.217012	369.351917	NA	NA	[M-H2O+Na]+
HILIC-pos_Cluster_0022: choline	HMDB0000097	C00114	TRUE	choline	8.170531	104.107031	NA	Quaternary ammonium salts	[M+H]+
HILIC-neg_Cluster_0392: citrate	HMDB0000094	C00158	TRUE	citrate	9.415773	191.019484	NA	Tricarboxylic acids and derivatives	[M-H]-
HILIC-pos_Cluster_0306: citrulline	HMDB0000904	C00327	FALSE	citrulline	8.357386	176.102204	NA	L-alpha-amino acids	[M+H]+
HILIC-neg_Cluster_0296: citrulline	HMDB0000904	C00327	FALSE	citrulline	3.641507	174.088119	NA	L-alpha-amino acids	[M-H]-
HILIC-pos_Cluster_0090: creatine	HMDB0000064	C00300	TRUE	creatine	8.298269	132.07633	2	Alpha amino acids and derivatives	[M+H]+
HILIC-pos_Cluster_0036: creatinine	HMDB0000562	C00791	TRUE	creatinine	6.423718	114.066154	NA	Amino acids, peptides, and analogues	[M+H]+
HILIC-neg_Cluster_0677: cystine	HMDB0250712	C01420	TRUE	cystine	6.288915	239.01636	3	L-cysteine-S-conjugates	[M-H]-
HILIC-pos_Cluster_0032: cytosine	HMDB0000630	C00380	TRUE	cytosine	6.12461	112.050537	NA	NA	[M+H]+
C18-neg_Cluster_0833: deoxycholic acid	HMDB0000626	C04483	TRUE	deoxycholic acid	10.769622	391.285468	NA	Bile acids, alcohols and derivatives	[M-H]-
HILIC-pos_Cluster_0734: deoxyinosine	HMDB0000071	C05512	FALSE	deoxyinosine	4.976754	253.092331	NA	Purine nucleosides	[M+H]+
HILIC-neg_Cluster_0740: deoxyinosine	HMDB0000071	C05512	FALSE	deoxyinosine	2.786193	251.078022	NA	Purine nucleosides	[M-H]-
HILIC-pos_Cluster_0936: diacetylspermine	HMDB0002172	C03413	TRUE	diacetylspermine	10.204002	287.242938	NA	Acetamides	[M+H]+
HILIC-neg_Cluster_0199: dihydroxybenzoic acid	NA	NA	TRUE	dihydroxybenzoic acid	4.819288	153.018996	NA	Benzoic acids and derivatives	[M-H]-
HILIC-pos_Cluster_0298: dimethyllysine	HMDB0013287	C05545	FALSE	dimethyllysine	10.220459	175.143734	2	Alpha amino acids	[M+H]+
C18-neg_Cluster_0472: docosahexaenoic acid	HMDB0002183	C06429	TRUE	docosahexaenoic acid	14.089371	327.23262	13	NA	[M-H]-
HILIC-neg_Cluster_1126: docosapentaenoate	HMDB0001976	C16513	FALSE	docosapentaenoate	3.185725	329.248268	11	Very long-chain fatty acids	[M-H]-
C18-neg_Cluster_0863: docosapentaenoic acid	HMDB0001976	C16513	FALSE	docosapentaenoic acid	14.443008	397.235541	11	Very long-chain fatty acids	[M-H+Na-2H]-
C18-neg_Cluster_0490: docosapentaenoic acid	HMDB0001976	C16513	FALSE	docosapentaenoic acid	14.446319	329.248634	11	Very long-chain fatty acids	[M-H]-
C18-neg_Cluster_0729: docosapentaenoic acid 	HMDB0001976	NA	FALSE	docosapentaenoic acid	14.444973	375.253555	5	Very long-chain fatty acids	[M+FA-H]-
C18-neg_Cluster_1324: docosapentaenoic acid 	HMDB0001976	NA	FALSE	docosapentaenoic acid	14.441559	465.223168	11	Very long-chain fatty acids	[Unknown]-
C18-neg_Cluster_0111: dodecanedioic acid	HMDB0000623	C02678	TRUE	dodecanedioic acid	8.008681	229.143876	1	Medium-chain fatty acids	[M-H]-
HILIC-neg_Cluster_1002: eicosapentaenoic acid	HMDB0001999	C06428	FALSE	eicosapentaenoic acid	3.237376	301.216907	1	Fatty acids and conjugates	[M-H]-
C18-neg_Cluster_0351: eicosapentaenoic acid	HMDB0001999	C06428	FALSE	eicosapentaenoic acid	13.624069	301.217166	NA	Fatty acids and conjugates	[M-H]-
C18-neg_Cluster_0361: eicosatrienoic acid	HMDB0002925	C03242	FALSE	eicosatrienoic acid	14.77699	305.248483	11	Long-chain fatty acids	[M-H]-
C18-neg_Cluster_0591: eicosatrienoic acid	HMDB0002925	C03242	FALSE	eicosatrienoic acid	14.777768	351.253912	5	Long-chain fatty acids	[M+FA-H]-
C18-neg_Cluster_0373: eicosenoate	HMDB0002231	C16526	TRUE	eicosenoate	16.115366	309.279965	NA	Long-chain fatty acids	[M-H]-
C8-pos_Cluster_0737: epoxysqualene	NA	NA	TRUE	epoxysqualene	7.858286	449.374078	NA	NA	[M+Na]+
HILIC-neg_Cluster_0122: erythronic acid	HMDB0000613	NA	TRUE	erythronic acid	4.425442	135.029822	1	NA	[M-H]-
HILIC-pos_Cluster_0913: ethyl 9-hexadecenoate	HMDB0059871	NA	TRUE	ethyl 9-hexadecenoate	1.683218	283.262043	29	Fatty acid esters	[M+H]+
HILIC-neg_Cluster_0562: ethyl glucuronide	HMDB0010325	NA	TRUE	ethyl glucuronide	4.030186	221.066307	NA	O-glucuronides	[M-H]-
HILIC-neg_Cluster_0321: fructose/glucose/galactose*	NA	NA	FALSE	fructose/glucose/galactose*	2.156899	179.055912	NA	Hexoses	[M-H]-
HILIC-neg_Cluster_0237: fucose	HMDB0000174	C01019	TRUE	fucose	1.587833	163.061029	NA	Hexoses	[M-H]-
HILIC-neg_Cluster_0061: fumarate/maleate*	NA	NA	FALSE	fumarate/maleate*	7.325485	115.00351	NA	NA	[M-H]-
HILIC-pos_Cluster_0657: geranyl acetoacetate*	HMDB0038256	NA	FALSE	geranyl acetoacetate*	1.751914	239.163339	NA	Fatty alcohol esters	[M+H]+
HILIC-pos_Cluster_0658: geranyl acetoacetate*	HMDB0038256	NA	FALSE	geranyl acetoacetate*	1.89888	239.163255	5	Fatty alcohol esters	[M+H]+
HILIC-neg_Cluster_0401: glucurote	HMDB0000127	C00191	TRUE	glucurote	5.450615	193.035127	NA	Glucuronic acid derivatives	[M-H]-
HILIC-neg_Cluster_0166: glutamate	HMDB0000148	C00302	FALSE	glutamate	5.321273	146.045723	NA	Glutamic acid and derivatives	[M-H]-
HILIC-pos_Cluster_0160: glutamate	HMDB0000148	C00302	FALSE	glutamate	7.613393	148.059769	NA	Amino acids, peptides, and analogues	[M+H]+
HILIC-neg_Cluster_0162: glutamine	HMDB0000641	C00064	FALSE	glutamine	3.695059	145.06182	NA	L-alpha-amino acids	[M-H]-
HILIC-pos_Cluster_0156: glutamine	HMDB0000641	C00064	FALSE	glutamine	8.046524	147.075928	NA	L-alpha-amino acids	[M+H]+
HILIC-neg_Cluster_0036: glycerate	HMDB0000139	C00258	TRUE	glycerate	4.394749	105.019192	NA	Sugar acids and derivatives	[M-H]-
HILIC-neg_Cluster_1571: glycocholate	HMDB0000138	C01921	TRUE	glycocholate	4.042977	464.301241	NA	NA	[M-H]-
C18-neg_Cluster_1196: glycodeoxycholic acid	HMDB0000631	C05464	TRUE	glycodeoxycholic acid	9.51775	448.306747	NA	NA	[M-H]-
C18-neg_Cluster_1081: glycolithocholic acid	HMDB0000698	C15557	TRUE	glycolithocholic acid	10.904173	432.311815	NA	NA	[M-H]-
C18-neg_Cluster_1197: glycoursodeoxycholic acid	HMDB0000708	NA	TRUE	glycoursodeoxycholic acid	8.102488	448.30686	NA	NA	[M-H]-
HILIC-neg_Cluster_0182: guanine	HMDB0000132	C00242	TRUE	guanine	2.648227	150.041827	2	Imidazopyrimidines	[M-H]-
HILIC-neg_Cluster_0909: guanosine	HMDB0000133	C00387	TRUE	guanosine	3.055665	282.084094	NA	Purine nucleosides	[M-H]-
HILIC-neg_Cluster_0841: heptadecanoate	HMDB0002259	NA	TRUE	heptadecanoate	3.279936	269.248492	NA	Long-chain fatty acids	[M-H]-
C18-neg_Cluster_0268: hexadecanedioic acid	HMDB0000672	C19615	TRUE	hexadecanedioic acid	10.78202	285.206703	1	Long-chain fatty acids	[M-H]-
HILIC-pos_Cluster_0033: histamine	HMDB0000870	C00388	TRUE	histamine	9.120918	112.086877	NA	NA	[M+H]+
HILIC-neg_Cluster_0201: histidine	HMDB0000177	C00135	TRUE	histidine	4.037108	154.061827	NA	Amino acids, peptides, and analogues	[M-H]-
HILIC-neg_Cluster_0328: homovanillate	HMDB0000118	C05582	TRUE	homovanillate	4.570257	181.050492	NA	Phenols	[M-H]-
HILIC-neg_Cluster_0181: hydrocinnamic acid	HMDB0000764	C05629	TRUE	hydrocinnamic acid	3.875114	149.060668	1	NA	[M-H]-
HILIC-neg_Cluster_0070: hydroxyisovaleric acid	NA	NA	TRUE	hydroxyisovaleric acid	3.714219	117.055643	NA	Hydroxy fatty acids	[M-H]-
HILIC-pos_Cluster_0089: hydroxyproline	HMDB0000725	C01157	TRUE	hydroxyproline	7.892168	132.065131	NA	NA	[M+H]+
C18-neg_Cluster_0830: hyodeoxycholate/ursodeoxycholate*	NA	NA	FALSE	hyodeoxycholate/ursodeoxycholate*	9.249408	391.28509	NA	NA	[M-H]-
HILIC-neg_Cluster_0123: hypoxanthine	HMDB0000157	C00262	FALSE	hypoxanthine	3.252362	135.031148	NA	Purines and purine derivatives	[M-H]-
HILIC-pos_Cluster_0108: hypoxanthine	HMDB0000157	C00262	FALSE	hypoxanthine	4.825592	137.045333	NA	Purines and purine derivatives	[M+H]+
HILIC-pos_Cluster_0121: imidazole propionate	HMDB0002271	C20522	TRUE	imidazole propionate	7.393472	141.065236	NA	Azoles	[M+H]+
HILIC-neg_Cluster_0204: imidazolelactate	HMDB0002320	C05132	TRUE	imidazolelactate	4.568166	155.045875	NA	Azoles	[M-H]-
HILIC-neg_Cluster_0824: inosine	HMDB0000195	C00294	FALSE	inosine	3.396744	267.072637	NA	Purine nucleosides	[M-H]-
HILIC-pos_Cluster_0822: inosine	HMDB0000195	C00294	FALSE	inosine	4.862826	269.086999	NA	Purine nucleosides	[M+H]+
HILIC-pos_Cluster_0092: isoleucine	HMDB0000172	C00407	TRUE	isoleucine	7.039731	132.101601	NA	Isoleucine and derivatives	[M+H]+
C18-neg_Cluster_0900: ketodeoxycholate	HMDB0000391	NA	FALSE	ketodeoxycholate	8.346794	405.264403	NA	NA	[M-H]-
HILIC-pos_Cluster_0383: kynurenic acid	HMDB0000715	C01717	TRUE	kynurenic acid	5.218416	190.049178	NA	Quinolines and derivatives	[M+H]+
HILIC-pos_Cluster_0521: L-1,2,3,4-tetrahydro-beta-carboline-3-carboxylic acid*	HMDB0035665	NA	FALSE	L-1,2,3,4-tetrahydro-beta-carboline-3-carboxylic acid*	6.360789	217.096207	1	Pyridoindoles	[M+H]+
HILIC-neg_Cluster_0247: L-phenyllactic acid	HMDB0000748	C05607	FALSE	L-phenyllactic acid	3.820866	165.055393	3	Phenylpropanoic acids	[M-H]-
HILIC-neg_Cluster_0020: lactate	HMDB0000190	C00186	TRUE	lactate	4.030335	89.024276	1	Hydroxy acids and derivatives	[M-H]-
HILIC-neg_Cluster_1170: lactose	HMDB0000186	C00243	TRUE	lactose	2.609105	341.108598	NA	O-glycosyl compounds	[M-H]-
HILIC-pos_Cluster_0091: leucine	HMDB0000687	C00123	FALSE	leucine	6.911032	132.101541	NA	Amino acids, peptides, and analogues	[M+H]+
HILIC-neg_Cluster_0105: leucine	HMDB0000687	C00123	FALSE	leucine	2.624067	130.087084	NA	Amino acids, peptides, and analogues	[M-H]-
HILIC-neg_Cluster_0230: levoglucosan	HMDB0000640	NA	TRUE	levoglucosan	7.130819	161.045377	NA	NA	[M-H]-
C18-neg_Cluster_0246: linoleic acid	HMDB0000673	C01595	TRUE	linoleic acid	14.484832	279.232943	9	NA	[M-H]-
C8-pos_Cluster_1495: linoleoyl ethanolamide 	HMDB0012252	NA	FALSE	linoleoyl ethanolamide	4.768315	669.554472	1	Organonitrogen compounds	[2M+Na]+
HILIC-neg_Cluster_1325: linoleoyl ethanolamide	HMDB0012252	NA	FALSE	linoleoyl ethanolamide	1.076403	382.295979	18	Organonitrogen compounds	[M+CH3COO]-
HILIC-pos_Cluster_1160: linoleoyl ethanolamide	HMDB0012252	NA	FALSE	linoleoyl ethanolamide	1.942824	326.303789	18	Organonitrogen compounds	[Unknown]+
HILIC-neg_Cluster_1088: linoleoyl ethanolamide 	HMDB0012252	NA	FALSE	linoleoyl ethanolamide	1.067339	322.27492	18	Organonitrogen compounds	[M-H]-
C8-pos_Cluster_0339: linoleoyl ethanolamide 	HMDB0012252	NA	FALSE	linoleoyl ethanolamide	4.773251	346.271831	18	Organonitrogen compounds	[M+Na]+
C8-pos_Cluster_0264: linoleoyl ethanolamide 	HMDB0012252	NA	FALSE	linoleoyl ethanolamide	4.769408	324.290218	18	Organonitrogen compounds	[M+H]+
HILIC-pos_Cluster_1148: linoleoyl ethanolamide 	HMDB0012252	NA	FALSE	linoleoyl ethanolamide	1.941643	324.28841	18	Organonitrogen compounds	[M+H]+
HILIC-neg_Cluster_1303: lithocholate	HMDB0000761	C03990	FALSE	lithocholate	3.949561	375.290195	NA	NA	[M-H]-
C18-neg_Cluster_0731: lithocholic acid	HMDB0000761	C03990	FALSE	lithocholic acid	12.432525	375.29013	NA	NA	[M-H]-
HILIC-pos_Cluster_0157: lysine	HMDB0000182	C00047	TRUE	lysine	9.37	147.112492	NA	Amino acids, peptides, and analogues	[M+H]+
HILIC-neg_Cluster_0118: malate	HMDB0000156	C00149	TRUE	malate	7.324073	133.014111	NA	NA	[M-H]-
HILIC-neg_Cluster_0033: malonate	HMDB0000691	C00383	TRUE	malonate	7.481365	103.003626	NA	Dicarboxylic acids and derivatives	[M-H]-
C18-neg_Cluster_1680: maslinic acid	HMDB0002392	C16939	FALSE	maslinic acid	11.823681	517.353113	3	NA	[M+FA-H]-
C18-neg_Cluster_1385: maslinic acid	HMDB0002392	C16939	FALSE	maslinic acid	11.823927	471.347521	3	NA	[M-H]-
C18-neg_Cluster_1803: maslinic acid	HMDB0002392	C16939	FALSE	maslinic acid	11.824683	539.33415	2	NA	[Unknown]-
C18-neg_Cluster_2068: maslinic acid	HMDB0002392	C16939	FALSE	maslinic acid	11.824201	607.321568	2	NA	[Unknown]-
HILIC-pos_Cluster_0167: methionine	HMDB0000696	C00073	FALSE	methionine	6.997128	150.057729	NA	Methionine and derivatives	[M+H]+
HILIC-neg_Cluster_0173: methionine	HMDB0000696	C00073	FALSE	methionine	3.157803	148.04366	NA	Methionine and derivatives	[M-H]-
